Dataset,Classifier,Base_F1_mean,Base_AUC_mean,Base_F1_std,Base_AUC_std,KM_F1_mean,KM_AUC_mean,KM_F1_std,KM_AUC_std,KM-p-F1,KM-p-AUC,CAC_F1_mean,CAC_AUC_mean,CAC_F1_std,CAC_AUC_std,CAC-Base-p-F1,CAC-Base-p-AUC,CAC-KM-p-F1,CAC-KM-p-AUC
diabetes,LDA,0.119159234,0.567890711,0.008209196,0.001411221,0.227172589,0.524161173,0.172254285,0.026485325,0.245694021,0.010899513,0.395005527,0.525475979,0.156938015,0.02381061,0.007955131,0.007439297,0.187700552,0.942954674
magic,LDA,0.844759265,0.83837399,0.004098378,0.005105727,0.871329015,0.878348448,0.001463388,0.004740014,1.88E-06,3.01E-06,0.87060423,0.87583883,0.001059566,0.004820568,1.88E-06,5.22E-06,0.445541133,0.479058874
sepsis,LDA,0.523029343,0.834983483,0.005497369,0.007807878,0.562450269,0.837874509,0.006459433,0.016771141,1.46E-05,0.762614027,0.564242494,0.830929082,0.011139373,0.013634008,0.000163245,0.619736856,0.787790399,0.538408196
titanic,LDA,0.803104154,0.901712421,0.045027195,0.022468187,0.825026376,0.907653996,0.032327993,0.018553887,0.451766141,0.694106841,0.802300442,0.879950909,0.041173035,0.024575046,0.97962723,0.227502412,0.410539363,0.109663833
adult,Perceptron,0.533489444,0.803329153,0.029287637,0.019429025,0.527135054,0.726436262,0.008268142,0.081774745,0.687216759,0.104690186,0.480147996,0.428924341,0.084220633,0.054639602,0.265780904,1.22E-06,0.299055563,0.000305879
cic,Perceptron,0.404218192,0.738594939,0.02504452,0.041888329,0.386148085,0.72113424,0.052140544,0.037824224,0.549507273,0.553286171,0.406787444,0.673573607,0.025171139,0.124485343,0.888515904,0.351125887,0.49614263,0.485570363
creditcard,Perceptron,0.377686313,0.643509698,0.099035597,0.043048088,0.336428228,0.66971086,0.135787522,0.032878594,0.636629147,0.361671704,0.406004805,0.650960021,0.059982779,0.035432855,0.63785719,0.796035648,0.375985587,0.460165226
diabetes,Perceptron,0.342828813,0.503635305,0.071988504,0.033772182,0.328787046,0.492155466,0.113790112,0.011557635,0.839998328,0.538079643,0.505728602,0.499008432,0.001890455,0.025030724,0.001939246,0.83128034,0.01445567,0.632471241
magic,Perceptron,0.785261667,0.741831889,0.025789981,0.067371423,0.820716795,0.709276596,0.025090158,0.080594489,0.084243999,0.552605953,0.821794798,0.710154026,0.03982627,0.074705915,0.162139164,0.546391785,0.964589506,0.987650342
sepsis,Perceptron,0.343716387,0.700091665,0.042080723,0.025291087,0.444925236,0.599530393,0.024201471,0.072119186,0.00312297,0.030102146,0.424337348,0.607207871,0.033233778,0.043928183,0.016889644,0.006356217,0.345887711,0.860235072
titanic,Perceptron,0.758832688,0.859320894,0.046421285,0.023234252,0.636199878,0.651123452,0.131319794,0.18601943,0.11628509,0.057076106,0.796792097,0.759220288,0.03918752,0.084843197,0.246734512,0.052408367,0.047143277,0.321202933
adult,RF,0.644533044,0.880125887,0.006050017,0.004792624,0.642321008,0.880156827,0.005559473,0.003588925,0.604927408,0.992007358,0.638947151,0.874953093,0.003825613,0.004292712,0.157210781,0.146512689,0.34665049,0.09992659
cic,RF,0.320040186,0.800428265,0.037732103,0.015815676,0.313987895,0.788156633,0.021614715,0.0051563,0.787791653,0.178342346,0.426667761,0.742068172,0.049790014,0.029999528,0.009174106,0.008801345,0.003200808,0.016353949
