Dataset,Classifier,alpha,Base_F1_mean,Base_AUC_mean,KM_F1_mean,KM_AUC_mean,CAC_F1_mean,CAC_AUC_mean
titanic,KNN,0.02,0.7901111303018263,0.8907814320095652,0.7905616903180702,0.8766217269725456,0.7905616903180702,0.8766217269725456
titanic,KNN,0.05,0.7901111303018263,0.8907814320095652,0.7905616903180702,0.8766217269725456,0.7905616903180702,0.8794031418655541
titanic,KNN,0.08,0.7901111303018263,0.8907814320095652,0.7905616903180702,0.8766217269725456,0.7803950575660237,0.872553977298381
titanic,KNN,0.1,0.7901111303018263,0.8907814320095652,0.7905616903180702,0.8766217269725456,0.7773487887663302,0.8738458806283731
titanic,KNN,0.15,0.7901111303018263,0.8907814320095652,0.7905616903180702,0.8766217269725456,0.7768275906817537,0.8729052473790195
titanic,KNN,0.2,0.7901111303018263,0.8907814320095652,0.7905616903180702,0.8766217269725456,0.780470114680641,0.8425304689922131
titanic,KNN,0.3,0.7901111303018263,0.8907814320095652,0.7905616903180702,0.8766217269725456,0.7810789426867293,0.8312597261477983
titanic,KNN,0.5,0.7901111303018263,0.8907814320095652,0.7905616903180702,0.8766217269725456,0.7810789426867293,0.8312597261477983
titanic,KNN,0.8,0.7901111303018263,0.8907814320095652,0.7905616903180702,0.8766217269725456,0.7810789426867293,0.8312597261477983
titanic,KNN,1.0,0.7901111303018263,0.8907814320095652,0.7905616903180702,0.8766217269725456,0.7810789426867293,0.8312597261477983
titanic,SGD,0.01,0.7694664227926318,0.8876708163778462,0.7580172563385543,0.8574364207174096,0.7027151077822433,0.8246075678083697
titanic,SGD,0.02,0.7694664227926318,0.8876708163778462,0.7459088924478124,0.8281858871902307,0.7742836239239628,0.8782245660294439
titanic,SGD,0.05,0.7694664227926318,0.8876708163778462,0.7523061201773835,0.8598146425744154,0.7306434306434306,0.8399900067123589
titanic,SGD,0.08,0.7694664227926318,0.8876708163778462,0.7200172383271277,0.8202291834099386,0.7380281359161639,0.8137127772610565
titanic,SGD,0.1,0.7694664227926318,0.8876708163778462,0.7471726775604043,0.8587524042585853,0.7490785445867152,0.8339500877422694
titanic,SGD,0.15,0.7694664227926318,0.8876708163778462,0.8027193949754053,0.8807475701561902,0.7564434122294704,0.8646755342044349
titanic,SGD,0.2,0.7694664227926318,0.8876708163778462,0.738393628653329,0.8388055613247728,0.7871617079494155,0.8605767812583716
titanic,SGD,0.3,0.7694664227926318,0.8876708163778462,0.7197919102821048,0.8617789858017055,0.7810789426867293,0.8521806136239816
titanic,SGD,0.5,0.7694664227926318,0.8876708163778462,0.6997647077779114,0.8332445375545943,0.7905894386307262,0.8633997345156716
titanic,SGD,0.8,0.7694664227926318,0.8876708163778462,0.677852663238367,0.7955839902715948,0.7849937296541478,0.8581091616173474
titanic,SGD,1.0,0.7694664227926318,0.8876708163778462,0.7640967532842592,0.8780162722027072,0.7841520617259381,0.8389092567341816
titanic,Ridge,0.01,0.801001332598138,0.9029570540813762,0.8086491330125097,0.6936967037200916,0.8086491330125097,0.6669899435018045
titanic,Ridge,0.02,0.801001332598138,0.9029570540813762,0.8086491330125097,0.6936967037200916,0.8086491330125097,0.6936967037200916
titanic,Ridge,0.05,0.801001332598138,0.9029570540813762,0.8086491330125097,0.6936967037200916,0.8086491330125097,0.7030416316751098
titanic,Ridge,0.08,0.801001332598138,0.9029570540813762,0.8086491330125097,0.6936967037200916,0.8070280590510104,0.7409583322045734
titanic,Ridge,0.1,0.801001332598138,0.9029570540813762,0.8086491330125097,0.6936967037200916,0.8070280590510104,0.7410028805952628
titanic,Ridge,0.15,0.801001332598138,0.9029570540813762,0.8086491330125097,0.6936967037200916,0.8046885693724392,0.7154324053421949
titanic,Ridge,0.2,0.801001332598138,0.9029570540813762,0.8086491330125097,0.773015113342544,0.7843348489801578,0.7247108117138187
titanic,Ridge,0.3,0.801001332598138,0.9029570540813762,0.8086491330125097,0.6936967037200916,0.7810789426867293,0.6342107560283303
titanic,Ridge,0.5,0.801001332598138,0.9029570540813762,0.8086491330125097,0.6936967037200916,0.7810789426867293,0.6527221173729693
titanic,Ridge,0.8,0.801001332598138,0.9029570540813762,0.8086491330125097,0.7412521107810115,0.7810789426867293,0.6518019523031218
titanic,Ridge,1.0,0.801001332598138,0.9029570540813762,0.8086491330125097,0.773015113342544,0.7810789426867293,0.7097816827853581
